index,name,coordinates_lat,coordinates_long,categories,review_count,rating,Services
72,Egg Harbor Café,42.20229,-87.92953,breakfast_brunch,187,4.0,['delivery']
73,Uncle Julio's,42.2408446495948,-87.9458590535429,mexican,453,3.0,"['delivery', 'pickup']"
74,Asian Mart,42.2406224,-87.9797058,grocery,10,3.0,[]
75,Royal Cantonese Restaurant,42.235273,-87.992684,chinese,133,3.5,"['pickup', 'delivery']"
76,Savage Burrito,42.229225158691406,-87.96517944335938,fooddeliveryservices,8,3.0,[]
77,J & L Food Mart,42.2203903198242,-87.966911315918,grocery,1,1.0,[]
78,Halsted Street Deli,42.203625,-87.934257,sandwiches,47,3.5,"['pickup', 'delivery']"
79,Russian Food Delivery Chicago,42.23152,-87.96906,fooddeliveryservices,2,3.0,[]
80,Cajun Cafe,42.2443885444,-87.9482017155,cafes,12,3.5,[]
81,Whole Foods Market,42.241203,-87.943845,grocery,46,3.0,[]
82,Culver's,42.240184,-87.987737,burgers,25,3.5,['delivery']
83,Hansa Coffee Roasters,42.241897,-87.950246,coffee,16,4.5,['delivery']
84,Maciano's Pizza & Pastaria,42.2403486855427,-87.9717334965729,italian,144,3.5,"['pickup', 'delivery']"
85,Madras Kafe Indian Restaurant,42.236601,-87.943501,indpak,169,3.5,"['delivery', 'pickup']"
86,Wendy's,42.1968662296674,-87.966049145722,burgers,21,3.0,['delivery']
87,Empire Buffet Sushi & Hibachi,42.2399431,-87.9963518,chinese,80,2.5,['delivery']
88,Dover Straits,42.235016,-87.990179,seafood,214,3.5,"['delivery', 'pickup']"
89,Noodles & Company,42.2385662,-87.9448196,noodles,43,3.5,[]
90,Popeyes Louisiana Kitchen,42.240191,-87.986953,chicken_wings,47,2.5,['delivery']
91,Ellys Pancake House - Mundelein,42.2396845017522,-87.9948299272284,breakfast_brunch,143,3.5,"['delivery', 'pickup']"
92,Strawberry Field Pancakes and Cafe,42.19975,-87.933136,cafes,140,3.0,"['delivery', 'pickup']"
93,QDOBA Mexican Eats,42.2409718,-87.9465174,mexican,39,3.5,['delivery']
94,Secret Sauce,42.229225158691406,-87.96517944335938,southern,1,1.0,[]
95,Yen Yen Restaurant,42.1967582,-87.9664973,chinese,121,3.0,"['delivery', 'pickup']"
96,Wild Goose Cafe,42.1961507,-87.9661518,restaurants,4,3.5,[]
97,Chef Yan Can,42.24531,-87.94977,cantonese,62,3.0,"['delivery', 'pickup']"
98,Samaris Sweet Creations,42.242282,-87.994793,customcakes,8,5.0,[]
99,Tsukasa of Tokyo,42.236277,-87.941708,japanese,478,3.5,"['pickup', 'delivery']"
100,McDonald's,42.1982966439408,-87.9327772557735,hotdogs,33,2.0,['delivery']
101,Panda Express,42.24086322685761,-87.95728832150571,chinese,3,3.0,['delivery']
102,Frutilandia,42.24299,-88.007734,markets,5,4.5,['delivery']
103,Chili's,42.2399,-87.97395,bars,64,3.0,[]
104,Bo-Bo's Gyros,42.2415985,-87.9559692,greek,76,3.5,"['delivery', 'pickup']"
105,Spice Bazaar Grocers,42.239947504274,-87.9691652653898,grocery,10,4.0,[]
106,Jolene's Wings + Beer,42.24452,-87.94513,chicken_wings,3,1.0,['delivery']
107,On The Border Mexican Grill & Cantina,42.2363203,-87.9448458,mexican,145,3.0,"['pickup', 'delivery']"
108,Tutti Frutti Frozen Yogurt,42.2358169555664,-87.9630813598633,icecream,6,4.0,['delivery']
109,Hitz Pizza and Sports Bar,42.252953,-87.980537,pizza,109,3.5,"['pickup', 'delivery']"
110,Taco's El Norte,42.251752293401,-87.9980468756029,mexican,38,4.0,['delivery']
111,Greg's Frozen Custard,42.2425702321009,-87.9949235356294,icecream,145,4.5,['delivery']
112,Five Guys,42.23699098974839,-87.94343201426759,burgers,78,3.0,['delivery']
113,Tasty Thai Restaurant,42.24172836043461,-87.95760749406776,thai,112,3.0,"['delivery', 'pickup']"
114,Maggiano's Little Italy,42.2419611852426,-87.9508296957518,italian,237,3.0,"['delivery', 'pickup']"
